model,window,predicted_label,prob_No Flare,prob_B,prob_C,prob_M,prob_X
solarflare_tcn_oversampled_logscaled_ws2.h5,15-16,M,6.235828298173374e-09,0.003886559046804905,0.3248305320739746,0.6712756752967834,7.203394488897175e-06
solarflare_tcn_oversampled_logscaled_ws2.h5,16-17,C,4.368661029729992e-05,0.036307841539382935,0.6752147078514099,0.2826073169708252,0.005826551467180252
solarflare_tcn_oversampled_logscaled_ws2.h5,17-18,C,7.806013854860794e-06,0.026850271970033646,0.5453264117240906,0.4270080327987671,0.0008074968936853111
solarflare_tcn_oversampled_logscaled_ws2.h5,18-19,C,0.001223679748363793,0.08184261620044708,0.7989971041679382,0.0593850277364254,0.05855150893330574
solarflare_tcn_oversampled_logscaled_ws2.h5,19-20,C,2.2715996237820946e-05,0.07248804718255997,0.6106489896774292,0.3124026358127594,0.004437613766640425
solarflare_tcn_oversampled_logscaled_ws2.h5,20-21,M,1.9295865172352933e-07,0.007111847400665283,0.4223841428756714,0.5701664090156555,0.000337490375386551
solarflare_tcn_oversampled_logscaled_ws2.h5,21-22,M,7.482007049475214e-07,0.012774402275681496,0.4833102226257324,0.5026781558990479,0.001236415933817625
solarflare_tcn_oversampled_logscaled_ws2.h5,22-23,C,1.539043296361342e-06,0.012805460020899773,0.6391974091529846,0.3463856279850006,0.0016100313514471054
solarflare_tcn_oversampled_logscaled_ws4.h5,0-3,M,6.171247540764924e-12,8.528810440111556e-07,0.0007745878538116813,0.999213457107544,1.1122749128844589e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,1-4,M,6.323209750941361e-12,6.483217021013843e-07,0.0031006322242319584,0.9910212159156799,0.005877575371414423
solarflare_tcn_oversampled_logscaled_ws4.h5,2-5,M,3.000030432409595e-11,1.941142272698926e-06,0.0014289355603978038,0.9985601305961609,8.998935300041921e-06
solarflare_tcn_oversampled_logscaled_ws4.h5,3-6,M,2.925067826842209e-11,5.090973445476266e-06,0.0017296124715358019,0.9982174038887024,4.787192665389739e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,4-7,M,1.7273769220560453e-12,1.2774682423000172e-09,5.5181894822453614e-06,0.9999945163726807,4.061073255456904e-08
solarflare_tcn_oversampled_logscaled_ws4.h5,5-8,X,1.4322442121184054e-09,4.090186394023476e-07,0.0007236745441332459,0.051139652729034424,0.9481362700462341
solarflare_tcn_oversampled_logscaled_ws4.h5,6-9,M,1.2261600204510614e-05,0.00035808709799312055,0.008318401873111725,0.9912882447242737,2.3062772015691735e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,7-10,M,9.089261565620177e-10,3.486036803224124e-06,0.0005429316079244018,0.9994534850120544,1.0855902132789197e-07
solarflare_tcn_oversampled_logscaled_ws4.h5,8-11,M,4.0863656208811605e-11,2.6026409614132717e-06,0.0007159584783948958,0.9991231560707092,0.0001583479024702683
solarflare_tcn_oversampled_logscaled_ws4.h5,9-12,M,6.819100405869305e-12,2.5876370273181237e-06,0.0005925151635892689,0.9993218183517456,8.308522956212983e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,10-13,M,1.7425706710927358e-10,1.5172174244071357e-05,0.0013581982348114252,0.9986124038696289,1.4302161616797093e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,11-14,M,7.070146690324464e-10,3.224814645363949e-05,0.0013922591460868716,0.9985509514808655,2.4548704459448345e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,12-15,M,1.2960776896164816e-09,4.6427794586634263e-05,0.001555275870487094,0.998392641544342,5.535382570087677e-06
solarflare_tcn_oversampled_logscaled_ws4.h5,13-16,M,2.1238203903872765e-11,6.735448096151231e-06,0.0008411334129050374,0.9991369843482971,1.5137613445403986e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,14-17,M,1.651837833183123e-10,1.1184706636413466e-05,0.0008727559470571578,0.9991016387939453,1.4427366295421962e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,15-18,M,4.441903789231816e-10,1.1695249668264296e-05,0.0008636178681626916,0.9990536570549011,7.107920828275383e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,16-19,M,7.436751303657729e-08,0.00017714679415803403,0.0032759523019194603,0.9961724877357483,0.00037445261841639876
solarflare_tcn_oversampled_logscaled_ws4.h5,17-20,M,4.0072909435195925e-09,9.927377686835825e-05,0.0024041375145316124,0.9971309900283813,0.0003655811888165772
solarflare_tcn_oversampled_logscaled_ws4.h5,18-21,M,4.164541975160141e-11,6.4613536778779235e-06,0.001025028177537024,0.9989486336708069,1.993865407712292e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,19-22,M,2.2158340700489942e-12,3.998579813924152e-06,0.000572981545701623,0.9994087219238281,1.4337215361592826e-05
solarflare_tcn_oversampled_logscaled_ws4.h5,20-23,M,1.2706599661349571e-11,8.364563655050006e-06,0.001039596856571734,0.9989210367202759,3.102319533354603e-05
